Nested Sampling Global Log-Evidence           :    0.207133123173249533E+04  +/-    0.130473264052885396E+00

Dim No.       Mean        Sigma
   1    0.139331278843754597E+00    0.682729911767765321E-04
   2    0.256922994108271155E+03    0.555437964548296890E+02
   3   -0.662182026491431230E+01    0.318149956629391317E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139317129642524185E+00
   2    0.275518721989910546E+03
   3   -0.148081039444446283E+01

MAP Parameters
Dim No.        Parameter
   1    0.139398627488849708E+00
   2    0.165045425206114317E+03
   3   -0.939992441316922722E+01
