    0.138183857724623299E+00    0.437609216024422381E+03   -0.981028866957573698E+01   -0.721415354838904754E+01    0.207082121910685419E+04
    0.138490327633412430E+00    0.443114707328387794E+03   -0.479772378665114108E+01   -0.475022023892150180E+01    0.207238174291804125E+04
    0.138104383257064645E+00    0.455138439076207362E+03   -0.253874032825629747E+01   -0.571882163991785042E+01    0.207239692966770190E+04
    0.139273682146934391E+00    0.244625809858675922E+03   -0.680695321667920972E+01   -0.182966611747773200E+01    0.207282153920273686E+04
    0.139273279483309143E+00    0.238751067156547691E+03   -0.110684088138933365E+02   -0.979848448567532415E+01    0.207317275123689024E+04
    0.139346374479818763E+00    0.228711692338067252E+03   -0.586732562156930459E+01   -0.792116907782477142E+01    0.207360435514510755E+04
    0.138769381708128053E+00    0.362496224340165611E+03   -0.731115502871662670E+01   -0.162385427447530617E+01    0.207399757164386483E+04
    0.138637945807591062E+00    0.360255553024015569E+03   -0.832104037092482152E+01   -0.114472709657105192E+02    0.207405671638735703E+04
    0.138539792895055858E+00    0.377613261185502779E+03   -0.382039237933761555E+01   -0.657491652673310689E+01    0.207405862230567163E+04
    0.138855570253435673E+00    0.310316663767396903E+03   -0.936184055237281676E+01   -0.344088280106343092E+01    0.207446201288016209E+04
    0.138710916258730693E+00    0.345076029754855313E+03   -0.954777596922846783E+01   -0.846154911739174409E+01    0.207446478500051444E+04
    0.138811634276711948E+00    0.387033849343473094E+03   -0.678380199949563956E+01   -0.846911043113187567E+01    0.207446910290967935E+04
    0.138691512973260100E+00    0.352639125478293295E+03   -0.339112744759431450E+01   -0.627982266148612478E+01    0.207507964528073080E+04
    0.139465002191753562E+00    0.225324787488000709E+03   -0.103264253282167591E+02   -0.919338202464639309E+01    0.207510137661299723E+04
    0.139264166809917322E+00    0.248383846225829586E+03   -0.704496262189248679E+01   -0.971761298253965400E+01    0.207516261348114858E+04
    0.139341445072159675E+00    0.245288835793274217E+03   -0.100728733967993485E+02   -0.212023293771430943E+01    0.207519808938005235E+04
    0.139468466003013686E+00    0.228120953751862430E+03   -0.927250875607355773E+01   -0.895870660825975662E+01    0.207520004847637028E+04
    0.139480444447581065E+00    0.234184343220920368E+03   -0.349806701840861400E+01   -0.759164930966232987E+01    0.207525147712108401E+04
    0.138277646670175336E+00    0.448551966829025332E+03   -0.533930849180033906E+01   -0.116397819308549320E+02    0.207529174208920404E+04
    0.139467578754702060E+00    0.229627814735257800E+03   -0.108298605056745174E+02   -0.735463809224438769E+01    0.207535383481553617E+04
    0.138966508454276272E+00    0.304221747688273922E+03   -0.708680306820765615E+01   -0.781057224374108472E+01    0.207542932334315174E+04
    0.138996587848879666E+00    0.295394109391115990E+03   -0.633110897645445192E+01   -0.107843403779550933E+02    0.207548685274688387E+04
    0.138430042136260534E+00    0.397126831489694041E+03   -0.943714405919049071E+01   -0.274009425830998765E+01    0.207550274923930419E+04
    0.138835233151231752E+00    0.325184769953369027E+03   -0.857356665004546770E+01   -0.865475068178515627E+01    0.207556088817415184E+04
    0.138881242051679454E+00    0.315776956106019838E+03   -0.949736591103965644E+01   -0.642801595445332019E+01    0.207563464884407631E+04
    0.138659703921096583E+00    0.363126081557774285E+03   -0.667131388180993312E+01   -0.805775040179577395E+01    0.207568037989020468E+04
