    0.158923079866170880E+00    0.879461526870727539E+03   -0.284479011297226059E+01   -0.890595173835755816E+00   -0.596817358732223546E+01   -0.148470274067069549E+06   -0.599146350544150419E+01    1
    0.158558310848474493E+00    0.960456675291061401E+03   -0.465334469676017815E+01   -0.844442784190177953E+01   -0.108405942320823669E+02   -0.145593312808879389E+06   -0.599396350544151169E+01    1
    0.158330535888671853E+00    0.969071769714355469E+03   -0.417998024225235021E+01   -0.713666265606880224E+01   -0.109097640037536614E+02   -0.144292429396746040E+06   -0.599646350544151474E+01    1
    0.157799118149280548E+00    0.947960102558135986E+03   -0.758474868535995483E+01   -0.884843562841415476E+01   -0.495042546987533605E+01   -0.133661668384697172E+06   -0.599896350544151957E+01    1
    0.158146162968873960E+00    0.811005759239196777E+03   -0.657658039927482641E+01   -0.737089830636978860E+00   -0.293748790025711060E+01   -0.130310789600876014E+06   -0.600146350544151552E+01    1
    0.157373255205154411E+00    0.941374099254608154E+03   -0.104120109736919400E+02   -0.663192054033279454E+01   -0.584129469394683909E+01   -0.127047032528048585E+06   -0.600396350544151858E+01    1
    0.157056986016035072E+00    0.917173010110855103E+03   -0.268120073676109349E+01   -0.111175320446491241E+02   -0.100742314338684089E+02   -0.120230850154909145E+06   -0.600646350544151630E+01    1
    0.158901880919933319E+00    0.737040787935256958E+03   -0.814926484823226893E+01   -0.375117173194885289E+01   -0.252627832889556991E+01   -0.115130174343367980E+06   -0.600896350544152469E+01    1
    0.159124983114004137E+00    0.722800672054290771E+03   -0.931508715748786997E+01   -0.870477442145347524E+01   -0.100028377354145057E+02   -0.115057501443186629E+06   -0.601146350544151886E+01    1
    0.159140808379650112E+00    0.763877469301223755E+03   -0.695361095666885376E+01   -0.103247687458992008E+02   -0.119349553585052526E+01   -0.112807928848818876E+06   -0.601396350544150859E+01    1
    0.157967208468914017E+00    0.941426831483840942E+03   -0.657809525728225708E+00   -0.381696481704712021E+01   -0.574063568115234446E+01   -0.112182258427330322E+06   -0.601646350544151520E+01    1
