Nested Sampling Global Log-Evidence           :    0.207802719599292914E+04  +/-    0.145546154012087064E+00

Dim No.       Mean        Sigma
   1    0.138773745363954731E+00    0.200828217442512545E-03
   2    0.376193254899038550E+03    0.430172662977649267E+02
   3   -0.152795305767079115E+01    0.743499357012511797E+00
   4   -0.635213562396872700E+01    0.305371249724447713E+01
   5   -0.772662545624618513E+01    0.227450749069333513E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.138733081685395998E+00
   2    0.392385188503407676E+03
   3   -0.109102987248351546E+01
   4   -0.582042826713388095E+01
   5   -0.532474095796760771E+01

MAP Parameters
Dim No.        Parameter
   1    0.138733081685395998E+00
   2    0.392385188503407676E+03
   3   -0.109102987248351546E+01
   4   -0.582042826713388095E+01
   5   -0.532474095796760771E+01
